PF,ECTS
38.75,4
28.81,4
24.74,4
56.87,8
46.41,7
57.88,8
42.96,4
56.41,8
32.91,4
37.91,4
48.6,7
45.05,5
46.05,6
49.62,7
54.59,8
35.1,4
45.01,5
52.16,7
20.1,4
84.49,10
45.01,5
46.94,6
45.82,5
53.12,8
43.54,4
57.18,8
41.46,4
43.61,4
43.17,4
57.92,8
88.51,10
51,7
50.97,7
45.12,5
50.33,7
50.07,7
34.9,4
56.3,7
55.35,8
36.61,4
47.38,6
37.12,4
31.54,4
56.01,8
18.15,4
36.25,4
0,4
62.16,9
45,5
35.6,4
83.02,10
46.47,6
0,4
4.67,4
45.88,6
48.5,7
50.47,6
56.9,8
48.57,6
11.25,4
28.16,4
40.85,4
49.84,7
25.25,4
38.13,4
53.58,7
14.02,4
62.34,9
45.16,6
62.06,8
26.14,4
53.1,8
50.71,7
64.73,8
62.58,8
98.68,10
53.34,8
52.56,8
64.33,9
77.75,9
63.87,9
45.23,5
85.47,10
56.68,7
48.2,6
32.09,4
14.66,4
41.83,4
46.23,5
47.19,6
66.75,9
91.24,10
37.97,4
23.22,2
0,4
47.41,7
49.66,7
41.5,4
50.81,7
56.03,8
47.31,6
45.53,5
50.73,7
53.74,8
58.02,8
4.81,4
60.72,9
50.62,7
46.18,6
41.9,4
52.09,7
49.37,7
62.14,9
45.13,5
36.77,4
56.83,8
36.46,4
48.98,7
69.65,9
54.14,8
39.45,4
49.24,7
50.23,7
65.51,9
70.34,9
38.72,4
48.44,7
48.3,7
50.97,7
47.92,7
58.33,8
45.74,6
47.97,7
51.55,7
35.12,4
58.49,8
57.19,8
47.66,7
47.21,6
70.8,9
39.47,4
42.75,4
49.81,7
43.97,4
50.98,7
1.63,4
45.46,6
48.65,7
42.99,4
86.55,10
43.35,4
50.28,7
68.99,9
51.19,7
41.72,4
48.34,6
56.66,8
44.54,4
47.33,6
11.52,4
39.92,4
43.25,4
47.83,7
89.9,10
40.81,4
49.13,7
47.84,6
42.11,4
58.23,8
49.82,7
47.13,6
56.17,8
32.22,4
16.29,4
46.8,6
56.95,8
38.67,4
52.29,7
51.54,7
63.69,8
48.3,7
0.32,4
57.03,8
62.21,8
10.27,4
21.91,4
45.01,5
47.2,6
90.96,10
48.84,6
28.45,4
46.04,6
48.74,7
48.35,7
53.66,8
50.27,7
42.16,4
21.84,4
50.31,7
68.15,9
23.91,4
50.95,7
32.12,4
50.79,7
36.02,4
27.79,4
43.05,4
54.11,8
48.69,6
43.36,4
40.87,4
48.27,6
86.48,10
59.82,8
48.39,7
23.87,4
47.22,6
46.7,6
54.41,8
10.22,4
48.47,6
66.55,9
73.28,9
41.96,4
59.63,8
49.44,7
53.14,8
63.87,9
70.22,9
76.36,10
56.93,8
61.1,9
45.69,6
10.72,4
48.85,7
47.84,7
63.55,9
52.58,8
19.68,4
48.34,6
46.91,6
0,4
47.06,6
48.2,7
51.43,8
60.65,8
43.27,4
49.51,7
53.03,8
51.22,7
49.31,7
18.11,4
20.54,4
20.09,4
42.77,4
90.49,10
67.78,9
4.46,4
40.96,4
48.9,7
49.82,7
80.06,10
62.04,9
56.24,8
46.08,6
48.52,6
98.65,10
48.63,6
49.61,7
53.64,8
49.64,7
0,4
37.1,4
46.84,6
69.34,9
50.12,6
90.8,10
13.66,4
61.23,8
0,4
37.2,4
50.01,7
14.8,4
48.78,7
45.6,6
42.93,4
53.59,8
56.4,8
57.52,8
43.14,4
82.32,10
50.5,7
19.61,4
50.43,7
19,4
35.03,4
25.96,4
98.1,10
32.21,4
52.55,8
47.29,6
3.19,4
43.76,4
45.75,6
99.25,10
49.63,7
42.34,4
50.35,7
49.54,7
47.74,7
20.38,4
99,10
48.22,6
48.36,7
41.58,4
49.01,7
0,4
14.88,4
89.74,10
45.27,6
84.62,10
96.04,10
49.74,7
42.62,4
42.02,4
51.66,7
46.09,6
