Year,Gender,Class,NrPS1,NrPSM1,NrPSA1,NrPCA1,NrPC1,NFS1,NPS1,NPC1,NET1,NL1,NrPS2,NrPSM2,NrPSA2,NrPCA2,NrPC2,NFS2,NPS2,NPC2,NET2,NL2,BS,PF,ECTS
2009,0,3,6,4,0,0,4,9.42,7.39,1.01,7,2.1,7,4,0,5,1,10,7.39,8.84,9.5,4.5,0,63.98,9
2016,0,14,7,7,0,0,6,10,10,1.59,6,3.4,6,2,0,0,1,9.42,4.2,0.14,3.2,2.73,2,53.88,8
2014,0,14,5,0,0,0,0,8.55,0,0,8.6,2.2,2,0,0,0,0,4.2,0,0,4.1,0,0,29.29,4
2011,0,8,5,1,0,0,0,8.55,2.17,0,6.4,2.25,3,0,0,0,0,5.94,0,0,0,0,0,24.98,4
2010,0,10,5,0,0,0,4,8.55,0,1.01,5.1,2.1,7,0,0,0,3,10,0,0.72,7.1,2.9,0,38.35,4
2015,1,3,7,1,0,0,7,10,2.17,1.88,7.2,2.3,7,0,0,0,7,10,0,1.88,7.25,2.3,7,52.46,8
2009,0,1,7,0,0,0,5,10,0,1.3,2.2,2.1,7,0,0,0,6,10,0,1.59,5,2.4,0,32.6,4
2012,1,9,7,0,0,0,6,10,0,1.59,8.4,2.4,7,1,1,0,6,10,2.46,1.59,7.3,2.3,12.51,58.62,8
2013,1,2,7,1,4,0,7,10,3.33,1.88,5.4,2.8,7,4,1,0,7,10,7.68,1.88,6.2,3.6,8,60.65,9
2009,0,13,6,1,2,0,4,9.71,2.75,1.01,6.7,2.8,6,1,1,0,5,9.42,2.46,1.3,9.8,2.3,17,66.69,9
2015,0,12,7,0,4,0,7,10,1.01,1.88,8.5,2,7,2,0,0,6,10,4.2,1.73,5.6,2.1,4.5,51.29,7
2016,1,2,4,0,0,0,1,7.39,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58,4
2016,1,4,7,0,0,0,7,10,0,1.88,5.2,2.6,7,0,1,0,7,10,0.14,1.88,2,2.8,10.71,45.51,5
2011,0,14,7,1,1,0,6,10,2.46,1.59,9.2,2.2,7,2,1,0,5,10,4.49,1.3,8.8,2.25,0,52.96,8
2014,0,13,7,0,0,0,7,10,0,1.88,4.2,2.15,7,0,0,0,6,10,0,1.59,3.4,2.1,3.5,36.31,4
2012,0,6,6,1,4,0,3,9.71,3.33,0.72,8.5,2.3,7,4,1,0,0,10,7.68,0,6.9,2,2,54.75,7
2011,0,13,6,1,1,0,3,9.42,2.46,0.72,0,2.05,4,0,0,0,0,7.68,0,0,0,0,0,19.05,4
2011,0,13,7,2,2,0,4,10,4.78,1.01,9.7,2,6,1,1,0,0,9.71,2.46,0,8.7,2.05,0,52.36,8
2012,0,12,7,2,3,0,6,10,5.07,1.59,9.6,3.15,6,1,1,0,6,9.42,2.46,1.59,5.1,2.7,6.74,58.24,8
2014,1,14,7,0,0,0,6,10,0,1.59,8.5,2.7,7,0,0,0,7,10,0,1.88,7.7,2.25,5.14,49.92,7
2013,0,4,7,1,0,0,5,10,2.17,1.3,7.3,2.4,7,0,0,0,7,10,0,1.88,8.5,2.3,1.5,47.44,6
2012,0,9,6,0,0,0,2,9.42,0,0.43,4.1,2.5,7,1,1,0,7,10,2.46,1.88,5.6,2.1,9.93,47.71,6
2015,0,5,7,0,0,0,6,10,0,1.59,8.4,2.5,7,0,0,0,6,10,0,1.59,2.7,2.8,9,47.92,6
2010,0,3,7,1,1,0,6,10,2.46,1.59,7.9,2.1,2,0,1,0,0,4.2,0.14,0,0,0,0,27.2,4
2016,1,13,7,3,1,0,7,10,6.23,1.88,8.8,2.8,7,3,0,2,5,10,5.94,5.65,7,3.2,39.25,103.12,10
2016,0,1,7,2,0,0,7,10,4.2,1.88,4.1,2,7,1,0,0,3,10,2.17,0.72,5.1,2.23,9.64,51.3,7
2014,0,11,7,2,3,0,6,10,5.07,1.59,7.8,3.4,7,5,0,0,7,10,8.55,1.88,8.2,2.9,8.5,69.01,9
2015,0,9,7,0,0,0,6,10,0,1.59,5.3,2.2,5,1,0,0,2,8.55,2.17,0.43,2,2.1,5.14,38.35,4
