Gender,Class,NrPS1,NrPSM1,NrPSA1,NrPCA1,NrPC1,NET1,NL1,NrPS2,NrPSM2,NrPSA2,NrPCA2,NrPC2,NET2,NL2,BS,PF
0,11,7,0,2,0,7,2.8,2.1,6,1,1,0,3,2.6,2.7,4.5,37.85
0,2,7,0,2,0,7,8.6,2.6,6,0,1,0,7,7,2.2,3,46.98
0,3,6,0,0,0,7,8.4,2.6,7,0,0,0,6,8.3,2.1,3.5,48.25
0,2,7,0,0,0,7,7.6,2.6,7,0,2,1,6,3,2.1,9.85,48.2
0,3,7,6,0,1,4,7.2,2.5,7,5,0,0,2,9.5,3.7,21,86.64
0,1,7,0,0,0,7,5.1,1.9,7,3,0,0,7,3.7,3.03,5.42,47.5
0,2,6,0,0,0,7,3.2,2.9,7,0,1,0,7,4.5,2.3,4.5,39.09
0,6,7,7,0,6,0,9.8,7.7,7,7,0,3,0,10,6.5,36.75,125.19
0,7,4,0,0,0,1,4.3,2.4,3,0,0,0,2,6.1,2.5,0,31.72
1,2,7,5,1,0,5,7.3,7.4,7,6,0,2,5,8,5.5,25.75,102.45
0,1,7,1,1,0,7,4.2,2.9,6,1,1,0,7,8.4,2.2,18.43,63.75
0,7,7,0,0,0,7,7.6,2.6,7,0,0,0,7,2.9,2.6,10,48.35
0,14,5,0,0,0,5,3.6,2,2,0,0,0,2,0,0,4.64,22.88
0,10,7,0,1,0,7,8.6,2.9,7,0,0,0,6,7.6,2.1,2.75,47.76
0,5,7,6,0,4,3,4.3,2.5,7,6,0,2,4,7.8,3.1,2,64.17
0,13,4,0,1,2,2,7.8,2.4,7,0,0,2,5,5.5,3.6,2,45.13
0,3,7,1,0,0,6,7.3,2.4,7,1,0,1,6,7.2,2.5,0,47.42
0,2,7,0,0,0,0,8.8,2.2,7,1,0,0,3,7.4,2.5,4,49.83
0,14,7,0,1,0,7,8.6,2.5,7,2,0,0,7,3.5,2.4,7.5,52.56
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,7,0,0,0,7,6.9,2.15,7,0,0,0,7,8.3,2.05,3,45.29
1,1,7,0,0,1,5,7.9,3,7,1,0,0,7,7.4,2.7,0,47.65
1,4,7,0,0,0,7,5.5,2.3,7,1,0,0,7,5.6,2.7,7.85,49.5
0,1,7,0,0,0,7,3.2,2.1,7,1,2,0,7,6.9,2.5,2.5,41.87
0,7,7,1,1,0,7,7.4,3.7,7,2,0,0,7,4.4,2.7,11.8,61.16
0,3,7,0,0,1,5,9.7,4.7,7,0,0,0,10,6.8,3.1,1,51.87
0,10,5,0,1,1,2,6.1,2.4,7,0,0,2,5,7.1,3.7,2,45.33
0,9,6,0,0,0,7,3,1.9,4,0,0,0,4,1.4,0,6.14,28.67
0,3,7,2,1,0,7,5.1,3.1,6,1,0,0,7,3,2.4,11.71,54.23
0,13,7,0,2,0,4,7.4,2.2,7,2,0,0,5,6.6,2.4,4.66,50.42
0,4,7,0,0,0,2,3.5,3,7,0,1,0,7,9.7,3.6,1.25,45.02
0,5,7,1,1,0,7,6.5,3.15,7,0,0,0,6,8.6,2.5,5,52.09
1,1,7,3,1,0,7,7.4,3,7,1,2,0,6,2.3,2.7,9.64,57.19
0,14,6,0,1,0,3,8,2.3,4,0,0,0,5,5.6,2,0,38.21
0,1,7,0,0,0,7,3.2,2,7,2,2,0,7,3.8,2.45,10.71,48.37
0,1,7,0,0,0,7,6.8,2.2,7,2,1,0,7,6,2.35,8.64,54.27
1,8,7,0,0,0,6,9.1,3.45,7,1,1,0,7,6.2,3.9,1,51.32
1,10,7,0,0,0,7,7.6,2.7,7,0,0,0,6,2.7,3.8,6.5,46.38
0,10,7,1,0,0,7,4.3,2.5,7,0,2,0,7,4.8,3.2,10.64,51.04
0,7,7,1,1,0,4,9.7,2.5,7,0,3,0,5,9.6,2.7,0.42,52.4
0,2,7,2,0,3,3,8.9,2.4,6,4,0,0,7,8,2.8,10.98,69.53
0,9,7,0,0,0,7,6.1,2.1,7,1,0,0,7,3,2.4,8,45.51
0,7,7,0,0,0,5,8.7,2.55,7,0,0,0,7,7.5,2.25,3,47.45
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,7,0,1,0,5,9.6,2.9,7,0,1,0,7,9.2,2.9,2.42,52.15
0,7,7,4,2,4,2,9.7,2.7,7,3,2,2,5,9.3,2.6,4.14,70.06
0,6,7,0,1,0,7,7.8,2.5,7,0,1,0,7,6.9,2.1,5.78,48.43
1,6,7,0,5,0,5,7.4,2.4,7,2,2,0,4,7.9,2.6,5.29,54.82
0,3,7,0,0,0,6,6.7,2.2,7,0,0,0,7,7.5,2,0.25,41.22
0,7,2,0,0,0,0,6.1,0,1,0,0,0,0,0,0,2,14.62
0,14,7,0,0,0,7,2.6,1.9,6,0,0,0,5,3.1,2.08,4.07,33.81
0,9,6,0,0,0,5,7.3,2.1,6,1,0,0,6,2.6,2.2,6,43.02
1,8,7,0,0,0,7,8.1,2.9,7,0,1,0,6,8.4,2.5,7.93,54.01
1,14,7,1,1,0,7,3.1,2.1,7,2,1,0,6,3.1,2.45,7.92,46.73
1,7,7,0,2,0,7,7.7,2.3,7,0,0,0,7,3.1,2.2,11.14,49.29
1,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6.52
0,13,7,0,0,0,7,7.1,2.7,7,0,1,0,7,3,2.2,7.45,45.04
1,7,6,0,0,0,6,7.1,2.5,7,0,0,4,3,5.9,2.8,15,57.55
0,10,7,1,2,0,6,9,2.35,6,2,0,0,1,5,2.4,0.14,48.12
0,5,7,0,0,0,6,8.7,2.5,5,0,0,0,5,6.6,2.4,0,42.34
0,14,7,0,0,0,6,8.2,2.45,7,1,0,0,5,8.3,2.18,3.5,50.12
0,11,7,0,0,0,7,7.5,2.6,7,1,3,0,7,3.9,2.4,3.14,45.53
1,14,6,0,0,0,1,4.8,2.6,4,1,1,0,4,8.6,2.5,2.87,43.9
0,6,7,7,0,2,4,9.8,7.7,5,3,0,0,2,3.9,5.5,26,97.76
0,8,5,0,0,0,1,7.5,2.5,5,1,0,0,3,6.1,2.6,0,41.14
0,14,7,0,1,0,6,7.5,2.3,7,2,1,0,7,8.1,2.3,5.37,53.42
0,8,7,4,1,1,6,8.7,2.9,7,3,2,0,6,6.4,3.5,15.06,75.71
1,12,7,0,0,0,6,8.6,4.6,4,1,0,0,5,9.9,2.5,0,51.49
0,14,7,1,4,0,7,5.1,2,7,1,0,0,7,3.4,2.5,9.64,50.18
0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15
0,12,7,0,0,0,6,7.1,2.7,6,1,0,0,7,3.4,2.15,3.64,43.2
0,6,7,1,2,0,3,9.2,2.2,6,2,2,0,0,7.4,2,1.5,51.88
0,7,7,0,1,0,4,5,2.5,7,2,0,0,3,2.1,2.3,9,46
0,13,7,1,1,0,6,2.9,2.2,6,0,1,0,7,6.8,2.2,1,38.86
